"DATE","TZ","series_xts"
2008-08-01 08:00:00,"Etc/GMT-7",10.125
2008-08-01 09:00:00,"Etc/GMT-7",11.0847366921782
2008-08-01 10:00:00,"Etc/GMT-7",11.63
2008-08-01 11:00:00,"Etc/GMT-7",11.9053391156436
2008-08-01 12:00:00,"Etc/GMT-7",12.131
2008-08-01 13:00:00,"Etc/GMT-7",12.4515318452475
2008-08-01 14:00:00,"Etc/GMT-7",12.633
2008-08-01 15:00:00,"Etc/GMT-7",12.4551585033664
2008-08-01 16:00:00,"Etc/GMT-7",12.131
2008-08-01 17:00:00,"Etc/GMT-7",11.8944591412868
2008-08-01 18:00:00,"Etc/GMT-7",11.63
2008-08-01 19:00:00,"Etc/GMT-7",11.1873799314863
2008-08-01 20:00:00,"Etc/GMT-7",10.627
2008-08-01 21:00:00,"Etc/GMT-7",10.0642711327681
2008-08-01 22:00:00,"Etc/GMT-7",9.624
2008-08-01 23:00:00,"Etc/GMT-7",9.37116053744119
2008-08-02 00:00:00,"Etc/GMT-7",9.122
2008-08-02 01:00:00,"Etc/GMT-7",8.68896171746712
2008-08-02 02:00:00,"Etc/GMT-7",8.118
2008-08-02 03:00:00,"Etc/GMT-7",7.53024259269035
2008-08-02 04:00:00,"Etc/GMT-7",7.114
2008-08-02 05:00:00,"Etc/GMT-7",7.01156791177148
2008-08-02 06:00:00,"Etc/GMT-7",7.114
2008-08-02 07:00:00,"Etc/GMT-7",7.29573576022372
2008-08-02 08:00:00,"Etc/GMT-7",7.616
2008-08-02 09:00:00,"Etc/GMT-7",8.24648904733363
2008-08-02 10:00:00,"Etc/GMT-7",9.624
2008-08-02 11:00:00,"Etc/GMT-7",11.9396830504418
2008-08-02 12:00:00,"Etc/GMT-7",14.137
2008-08-02 13:00:00,"Etc/GMT-7",15.0894037508993
2008-08-02 14:00:00,"Etc/GMT-7",14.638
2008-08-02 15:00:00,"Etc/GMT-7",13.087576945961
2008-08-02 16:00:00,"Etc/GMT-7",11.63
2008-08-02 17:00:00,"Etc/GMT-7",11.2389134652566
2008-08-02 18:00:00,"Etc/GMT-7",11.128
2008-08-02 19:00:00,"Etc/GMT-7",10.4187691930125
2008-08-02 20:00:00,"Etc/GMT-7",9.624
2008-08-02 21:00:00,"Etc/GMT-7",9.34200976269338
2008-08-02 22:00:00,"Etc/GMT-7",9.122
2008-08-02 23:00:00,"Etc/GMT-7",8.45094175621398
2008-08-03 00:00:00,"Etc/GMT-7",7.616
2008-08-03 01:00:00,"Etc/GMT-7",7.00547321245069
2008-08-03 02:00:00,"Etc/GMT-7",6.612
2008-08-03 03:00:00,"Etc/GMT-7",6.33666539398327
2008-08-03 04:00:00,"Etc/GMT-7",6.11
2008-08-03 05:00:00,"Etc/GMT-7",5.87661521161622
2008-08-03 06:00:00,"Etc/GMT-7",5.608
2008-08-03 07:00:00,"Etc/GMT-7",5.37362375955184
2008-08-03 08:00:00,"Etc/GMT-7",5.608
2008-08-03 09:00:00,"Etc/GMT-7",6.77888975017643
2008-08-03 10:00:00,"Etc/GMT-7",9.122
2008-08-03 11:00:00,"Etc/GMT-7",12.5781922397424
2008-08-03 12:00:00,"Etc/GMT-7",16.141
2008-08-03 13:00:00,"Etc/GMT-7",18.7588412908538
2008-08-03 14:00:00,"Etc/GMT-7",20.147
2008-08-03 15:00:00,"Etc/GMT-7",20.3105675968422
2008-08-03 16:00:00,"Etc/GMT-7",19.647
2008-08-03 17:00:00,"Etc/GMT-7",18.5671383217772
2008-08-03 18:00:00,"Etc/GMT-7",17.143
2008-08-03 19:00:00,"Etc/GMT-7",15.4148791160488
2008-08-03 20:00:00,"Etc/GMT-7",13.635
2008-08-03 21:00:00,"Etc/GMT-7",12.1069702140274
2008-08-03 22:00:00,"Etc/GMT-7",11.128
2008-08-03 23:00:00,"Etc/GMT-7",10.8221150278416
2008-08-04 00:00:00,"Etc/GMT-7",10.627
2008-08-04 01:00:00,"Etc/GMT-7",10.0575696746062
2008-08-04 02:00:00,"Etc/GMT-7",9.624
2008-08-04 03:00:00,"Etc/GMT-7",9.82585627373372
